"","sample","similiraty"
"H368","H368","1"
"H368","H367","0.6569"
"H368","H366","0.4449"
"H368","H365","0.9174"
"H368","H364","0.5583"
"H368","H363","0.5816"
"H368","H362","0.9358"
"H368","H361","0.9357"
"H368","H99","0.6622"
"H368","H98","0.5995"
"H368","H97","0.5906"
"H368","H96","0.5369"
"H368","H95","0.5328"
"H368","H94","0.5343"
"H368","H93","0.5526"
"H368","H92","0.5484"
"H368","H91","0.6172"
"H368","H90","0.6119"
"H368","H9","0.64"
"H368","H89","0.6081"
"H368","H88","0.7113"
"H368","H87","0.6044"
"H368","H86","0.6027"
"H368","H85","0.6202"
"H368","H84","0.6399"
"H368","H83","0.6943"
"H368","H82","0.6114"
"H368","H81","0.6109"
"H368","H8","0.6567"
"H368","H79","0.6209"
"H368","H78","0.6492"
"H368","H77","0.6017"
"H368","H76","0.6009"
"H368","H75","0.5642"
"H368","H74","0.6103"
"H368","H73","0.6085"
"H368","H72","0.6174"
"H368","H71","0.6334"
"H368","H70","0.6267"
"H368","H7","0.6565"
"H368","H69","0.6357"
"H368","H68","0.6381"
"H368","H67","0.6399"
"H368","H66","0.621"
"H368","H65","0.624"
"H368","H64","0.6247"
"H368","H63","0.585"
"H368","H62","0.5602"
"H368","H61","0.5664"
"H368","H60","0.6586"
"H368","H6","0.6441"
"H368","H59","0.5874"
"H368","H58","0.6028"
"H368","H57","0.5957"
"H368","H56","0.6508"
"H368","H55","0.6519"
"H368","H54","0.6488"
"H368","H53","0.6091"
"H368","H52","0.6036"
"H368","H51","0.5678"
"H368","H50","0.6094"
"H368","H5","0.6501"
"H368","H49","0.6039"
"H368","H48","0.5687"
"H368","H47","0.5812"
"H368","H46","0.6035"
"H368","H45","0.6675"
"H368","H44","0.6916"
"H368","H43","0.7343"
"H368","H42","0.5953"
"H368","H41","0.6264"
"H368","H40","0.6451"
"H368","H4","0.6484"
"H368","H39","0.607"
"H368","H38","0.5891"
"H368","H37","0.6611"
"H368","H36","0.6101"
"H368","H35","0.5933"
"H368","H34","0.7523"
"H368","H335","0.5861"
"H368","H334","0.5522"
"H368","H333","0.4804"
"H368","H332","0.5123"
"H368","H331","0.5478"
"H368","H330","0.5491"
"H368","H33","0.5931"
"H368","H329","0.5467"
"H368","H328","0.5172"
"H368","H327","0.5233"
"H368","H326","0.5009"
"H368","H325","0.5705"
"H368","H324","0.5494"
"H368","H323","0.5827"
"H368","H322","0.486"
"H368","H321","0.6064"
"H368","H320","0.563"
"H368","H32","0.6104"
"H368","H319","0.5673"
"H368","H318","0.6061"
"H368","H317","0.5989"
"H368","H316","0.5167"
"H368","H315","0.5241"
"H368","H314","0.6746"
"H368","H313","0.5682"
"H368","H312","0.5691"
"H368","H311","0.66"
"H368","H310","0.6205"
"H368","H309","0.6222"
"H368","H308","0.62"
"H368","H307","0.6214"
"H368","H306","0.6202"
"H368","H305","0.6218"
"H368","H304","0.6217"
"H368","H303","0.6215"
"H368","H302","0.5886"
"H368","H301","0.6186"
"H368","H300","0.5354"
"H368","H30","0.9793"
"H368","H3","0.6465"
"H368","H298","0.5762"
"H368","H297","0.5461"
"H368","H296","0.6141"
"H368","H294","0.6214"
"H368","H293","0.5691"
"H368","H292","0.5641"
"H368","H291","0.5635"
"H368","H290","0.5637"
"H368","H29","0.9792"
"H368","H289","0.5637"
"H368","H288","0.5535"
"H368","H287","0.5636"
"H368","H286","0.4718"
"H368","H285","0.5108"
"H368","H284","0.5874"
"H368","H283","0.7038"
"H368","H282","0.6386"
"H368","H281","0.5783"
"H368","H280","0.4653"
"H368","H28","0.9848"
"H368","H279","0.7385"
"H368","H278","0.5142"
"H368","H277","0.6802"
"H368","H276","0.6819"
"H368","H275","0.5789"
"H368","H274","0.5722"
"H368","H273","0.6074"
"H368","H272","0.5915"
"H368","H271","0.5878"
"H368","H270","0.5976"
"H368","H27","0.9638"
"H368","H269","0.6093"
"H368","H268","0.598"
"H368","H267","0.6043"
"H368","H266","0.6095"
"H368","H265","0.6007"
"H368","H264","0.597"
"H368","H262","0.5897"
"H368","H26","0.656"
"H368","H259","0.5777"
"H368","H258","0.5942"
"H368","H257","0.5921"
"H368","H256","0.5951"
"H368","H255","0.5876"
"H368","H254","0.5862"
"H368","H253","0.5943"
"H368","H252","0.5808"
"H368","H251","0.5842"
"H368","H250","0.6013"
"H368","H25","0.6594"
"H368","H249","0.5844"
"H368","H248","0.6111"
"H368","H247","0.5982"
"H368","H246","0.6073"
"H368","H245","0.5909"
"H368","H244","0.5947"
"H368","H243","0.5881"
"H368","H242","0.5904"
"H368","H241","0.9355"
"H368","H240","0.935"
"H368","H24","0.5824"
"H368","H239","0.59"
"H368","H238","0.5168"
"H368","H237","0.5394"
"H368","H236","0.5869"
"H368","H235","0.7268"
"H368","H234","0.5751"
"H368","H233","0.5733"
"H368","H232","0.5766"
"H368","H231","0.6226"
"H368","H230","0.6218"
"H368","H23","0.6073"
"H368","H229","0.623"
"H368","H228","0.5467"
"H368","H227","0.526"
"H368","H226","0.4829"
"H368","H225","0.6246"
"H368","H224","0.6189"
"H368","H223","0.663"
"H368","H222","0.667"
"H368","H221","0.6576"
"H368","H220","0.5933"
"H368","H219","0.5724"
"H368","H218","0.5794"
"H368","H217","0.5861"
"H368","H216","0.5947"
"H368","H215","0.6023"
"H368","H214","0.59"
"H368","H213","0.5966"
"H368","H212","0.599"
"H368","H211","0.6238"
"H368","H210","0.569"
"H368","H21","0.6082"
